species	assembly_accession	assembly_name	species_dir	paired_refseq_accession	paired_refseq_assembly_name	paired_asm_comp	has_gff3	has_gtf	refseq_genome_url	refseq_gff3_url	refseq_gtf_url	refseq_genome_size_bytes	refseq_gff3_size_bytes	refseq_gtf_size_bytes	match_evidence
Malus domestica	GCA_042453785.1	GDT2T_hap1	Malus_domestica_GCA_042453785.1	GCF_042453785.1	GDT2T_hap1	different	yes	yes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/453/785/GCF_042453785.1_GDT2T_hap1/GCF_042453785.1_GDT2T_hap1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/453/785/GCF_042453785.1_GDT2T_hap1/GCF_042453785.1_GDT2T_hap1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/453/785/GCF_042453785.1_GDT2T_hap1/GCF_042453785.1_GDT2T_hap1_genomic.gtf.gz	202627770	15731413	15412463	NCBI GenBank assembly_summary gbrs_paired_asm maps local GCA to RefSeq GCF
Oryza sativa	GCA_034140825.1	AGIS1.0	Oryza_sativa_GCA_034140825.1	GCF_034140825.1	AGIS1.0	different	yes	yes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/140/825/GCF_034140825.1_ASM3414082v1/GCF_034140825.1_ASM3414082v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/140/825/GCF_034140825.1_ASM3414082v1/GCF_034140825.1_ASM3414082v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/140/825/GCF_034140825.1_ASM3414082v1/GCF_034140825.1_ASM3414082v1_genomic.gtf.gz	120268131	11393192	11378424	NCBI GenBank assembly_summary gbrs_paired_asm maps local GCA to RefSeq GCF
Solanum lycopersicum	GCA_036512215.2	SLM_r2.1	Solanum_lycopersicum_GCA_036512215.2	GCF_036512215.1	SLM_r2.1	different	yes	yes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/512/215/GCF_036512215.1_SLM_r2.1/GCF_036512215.1_SLM_r2.1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/512/215/GCF_036512215.1_SLM_r2.1/GCF_036512215.1_SLM_r2.1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/512/215/GCF_036512215.1_SLM_r2.1/GCF_036512215.1_SLM_r2.1_genomic.gtf.gz	251506441	11639146	11371979	NCBI GenBank assembly_summary gbrs_paired_asm maps local GCA to RefSeq GCF
