species	assembly_accession	assembly_name	species_dir	legumeinfo_genome_dir	legumeinfo_annotation_dir	has_gff3	has_gtf	gff3_url	gtf_url	match_evidence
Arachis hypogaea	GCA_028451205.1	arahy.BaileyII.gnm1.genome_main	Arachis_hypogaea_GCA_028451205.1	BaileyII.gnm1.1JTF	BaileyII.gnm1.ann1.PQM7	yes	no	https://data.legumeinfo.org/Arachis/hypogaea/annotations/BaileyII.gnm1.ann1.PQM7/arahy.BaileyII.gnm1.ann1.PQM7.gene_models_main.gff3.gz		LegumeInfo genome/annotation token is uniquely contained in local assembly_name
Glycine max	GCA_002905335.2	glyma.Lee.gnm1	Glycine_max_GCA_002905335.2	Lee.gnm1.BXNC	Lee.gnm1.ann1.6NZV	yes	no	https://data.legumeinfo.org/Glycine/max/annotations/Lee.gnm1.ann1.6NZV/glyma.Lee.gnm1.ann1.6NZV.gene_models_main.gff3.gz		LegumeInfo genome/annotation token is uniquely contained in local assembly_name
