species	local_incomplete_count	ensembl_dir	match_type	exact_accession_count	assembly_name_match_count	has_gff3	has_gtf	gff3_url	gtf_url	gff3_listing_status	gtf_listing_status	observed_accessions	exact_accessions	assembly_name_matches
Oryza sativa	175	oryza_sativa_khaoyaiguang	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_khaoyaiguang/Oryza_sativa_khaoyaiguang.Os127518RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_khaoyaiguang/Oryza_sativa_khaoyaiguang.Os127518RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_larhamugad	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_larhamugad/Oryza_sativa_larhamugad.Os125619RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_larhamugad/Oryza_sativa_larhamugad.Os125619RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_lima	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_lima/Oryza_sativa_lima.Os127564RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_lima/Oryza_sativa_lima.Os127564RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_liuxu	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_liuxu/Oryza_sativa_liuxu.Os125827RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_liuxu/Oryza_sativa_liuxu.Os125827RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_mh63	assembly_name	0	1	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_mh63/Oryza_sativa_mh63.MH63RS2.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_mh63/Oryza_sativa_mh63.MH63RS2.62.gtf.gz	cached	cached			GCA_001623365.2
Oryza sativa	175	oryza_sativa_n22	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_n22/Oryza_sativa_n22.OsN22RS2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_n22/Oryza_sativa_n22.OsN22RS2.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_natelboro	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_natelboro/Oryza_sativa_natelboro.Os127652RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_natelboro/Oryza_sativa_natelboro.Os127652RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_pr106	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_pr106/Oryza_sativa_pr106.Os127742RS1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_pr106/Oryza_sativa_pr106.Os127742RS1.62.chr.gtf.gz	cached	cached			
Oryza sativa	175	oryza_sativa_zs97	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/oryza_sativa_zs97/Oryza_sativa_zs97.ZS97RS3.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/oryza_sativa_zs97/Oryza_sativa_zs97.ZS97RS3.62.gtf.gz	cached	cached			
Phaseolus vulgaris	13	phaseolus_vulgaris	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/phaseolus_vulgaris/Phaseolus_vulgaris.PhaVulg1_0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/phaseolus_vulgaris/Phaseolus_vulgaris.PhaVulg1_0.62.chr.gtf.gz	fetched	fetched			
Prunus persica	10	prunus_persica	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/prunus_persica/Prunus_persica.Prunus_persica_NCBIv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/prunus_persica/Prunus_persica.Prunus_persica_NCBIv2.62.chr.gtf.gz	fetched	fetched			
Saccharum spontaneum	18	saccharum_spontaneum	assembly_name	0	1	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/saccharum_spontaneum/Saccharum_spontaneum.Sspon.HiC_chr_asm.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/saccharum_spontaneum/Saccharum_spontaneum.Sspon.HiC_chr_asm.62.gtf.gz	fetched	fetched			GCA_003544955.1
Setaria italica	9	setaria_italica	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/setaria_italica/Setaria_italica.Setaria_italica_v2.0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/setaria_italica/Setaria_italica.Setaria_italica_v2.0.62.chr.gtf.gz	fetched	fetched			
Solanum lycopersicum	36	solanum_lycopersicum	assembly_name	0	1	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/solanum_lycopersicum/Solanum_lycopersicum.SL3.0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/solanum_lycopersicum/Solanum_lycopersicum.SL3.0.62.chr.gtf.gz	fetched	fetched			GCA_927333815.3
Solanum tuberosum	92	solanum_tuberosum	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/solanum_tuberosum/Solanum_tuberosum.SolTub_3.0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/solanum_tuberosum/Solanum_tuberosum.SolTub_3.0.62.chr.gtf.gz	cached	cached			
Solanum tuberosum	92	solanum_tuberosum_rh8903916	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/solanum_tuberosum_rh8903916/Solanum_tuberosum_rh8903916.ASM1418947v1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/solanum_tuberosum_rh8903916/Solanum_tuberosum_rh8903916.ASM1418947v1.62.gtf.gz	cached	cached			
Sorghum bicolor	22	sorghum_bicolor	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/sorghum_bicolor/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/sorghum_bicolor/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	56	triticum_aestivum	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum/Triticum_aestivum.IWGSC.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum/Triticum_aestivum.IWGSC.62.gtf.gz	cached	cached			
Triticum aestivum	56	triticum_aestivum_alchemy	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_alchemy/Triticum_aestivum_alchemy.GCA951799155v1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_alchemy/Triticum_aestivum_alchemy.GCA951799155v1.62.chr.gtf.gz	cached	cached	GCA_951799155		
Triticum aestivum	56	triticum_aestivum_arinalrfor	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_arinalrfor/Triticum_aestivum_arinalrfor.PGSBv2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_arinalrfor/Triticum_aestivum_arinalrfor.PGSBv2.1.62.chr.gtf.gz	cached	cached			
Triticum aestivum	56	triticum_aestivum_cadenza	assembly_name	0	1	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_cadenza/Triticum_aestivum_cadenza.EIv1.1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_cadenza/Triticum_aestivum_cadenza.EIv1.1.62.gtf.gz	cached	cached			GCA_902810645.1
