status	species	common_name	assembly_accession	assembly_name	assembly_level	source	cultivar	bioproject	species_dir	has_genome	has_gff3	has_gtf	has_readme_zh	has_readme_en	part_or_aria2_files	genome_size_bytes	gff3_size_bytes	gtf_size_bytes	directory_size_bytes	genome_path	gff3_path	gtf_path	genome_url	gff3_url	gtf_url	phytozome_note
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938535.1	TropicalBeauty_h1	Chromosome	NCBI GenBank	Tropical beauty	PRJNA1168474	Malus_domestica_GCA_052938535.1	yes	yes	yes	yes	yes	0	198136835	8775053	9168791	216085327	Malus_domestica_GCA_052938535.1/genome/GCA_052938535.1_TropicalBeauty_h1_genomic.fna.gz	Malus_domestica_GCA_052938535.1/annotation/GCA_052938535.1_TropicalBeauty_h1_genomic.gff.gz	Malus_domestica_GCA_052938535.1/annotation/GCA_052938535.1_TropicalBeauty_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/535/GCA_052938535.1_TropicalBeauty_h1/GCA_052938535.1_TropicalBeauty_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/535/GCA_052938535.1_TropicalBeauty_h1/GCA_052938535.1_TropicalBeauty_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/535/GCA_052938535.1_TropicalBeauty_h1/GCA_052938535.1_TropicalBeauty_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938555.1	Priscilla_h1	Chromosome	NCBI GenBank	Priscilla	PRJNA1168466	Malus_domestica_GCA_052938555.1	yes	yes	yes	yes	yes	0	203699230	8872372	9276750	221852849	Malus_domestica_GCA_052938555.1/genome/GCA_052938555.1_Priscilla_h1_genomic.fna.gz	Malus_domestica_GCA_052938555.1/annotation/GCA_052938555.1_Priscilla_h1_genomic.gff.gz	Malus_domestica_GCA_052938555.1/annotation/GCA_052938555.1_Priscilla_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/555/GCA_052938555.1_Priscilla_h1/GCA_052938555.1_Priscilla_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/555/GCA_052938555.1_Priscilla_h1/GCA_052938555.1_Priscilla_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/555/GCA_052938555.1_Priscilla_h1/GCA_052938555.1_Priscilla_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938575.1	Priscilla_h2	Chromosome	NCBI GenBank	Priscilla	PRJNA1168467	Malus_domestica_GCA_052938575.1	yes	yes	yes	yes	yes	0	198888667	8864576	9261481	217019221	Malus_domestica_GCA_052938575.1/genome/GCA_052938575.1_Priscilla_h2_genomic.fna.gz	Malus_domestica_GCA_052938575.1/annotation/GCA_052938575.1_Priscilla_h2_genomic.gff.gz	Malus_domestica_GCA_052938575.1/annotation/GCA_052938575.1_Priscilla_h2_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/575/GCA_052938575.1_Priscilla_h2/GCA_052938575.1_Priscilla_h2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/575/GCA_052938575.1_Priscilla_h2/GCA_052938575.1_Priscilla_h2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/575/GCA_052938575.1_Priscilla_h2/GCA_052938575.1_Priscilla_h2_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938595.1	EdwardVII_h1	Chromosome	NCBI GenBank	Edward VII	PRJNA1168421	Malus_domestica_GCA_052938595.1	yes	yes	yes	yes	yes	0	202769071	8900892	9300900	220975361	Malus_domestica_GCA_052938595.1/genome/GCA_052938595.1_EdwardVII_h1_genomic.fna.gz	Malus_domestica_GCA_052938595.1/annotation/GCA_052938595.1_EdwardVII_h1_genomic.gff.gz	Malus_domestica_GCA_052938595.1/annotation/GCA_052938595.1_EdwardVII_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/595/GCA_052938595.1_EdwardVII_h1/GCA_052938595.1_EdwardVII_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/595/GCA_052938595.1_EdwardVII_h1/GCA_052938595.1_EdwardVII_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/595/GCA_052938595.1_EdwardVII_h1/GCA_052938595.1_EdwardVII_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938615.1	EdwardVII_h2	Chromosome	NCBI GenBank	Edward VII	PRJNA1168422	Malus_domestica_GCA_052938615.1	yes	yes	yes	yes	yes	0	201875393	8974559	9378274	220232724	Malus_domestica_GCA_052938615.1/genome/GCA_052938615.1_EdwardVII_h2_genomic.fna.gz	Malus_domestica_GCA_052938615.1/annotation/GCA_052938615.1_EdwardVII_h2_genomic.gff.gz	Malus_domestica_GCA_052938615.1/annotation/GCA_052938615.1_EdwardVII_h2_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/615/GCA_052938615.1_EdwardVII_h2/GCA_052938615.1_EdwardVII_h2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/615/GCA_052938615.1_EdwardVII_h2/GCA_052938615.1_EdwardVII_h2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/615/GCA_052938615.1_EdwardVII_h2/GCA_052938615.1_EdwardVII_h2_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938675.1	CoxsOrangePippin_h1	Chromosome	NCBI GenBank	Cox's Orange Pippin	PRJNA1168419	Malus_domestica_GCA_052938675.1	yes	yes	yes	yes	yes	0	202277278	8975162	9443459	220700609	Malus_domestica_GCA_052938675.1/genome/GCA_052938675.1_CoxsOrangePippin_h1_genomic.fna.gz	Malus_domestica_GCA_052938675.1/annotation/GCA_052938675.1_CoxsOrangePippin_h1_genomic.gff.gz	Malus_domestica_GCA_052938675.1/annotation/GCA_052938675.1_CoxsOrangePippin_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/675/GCA_052938675.1_CoxsOrangePippin_h1/GCA_052938675.1_CoxsOrangePippin_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/675/GCA_052938675.1_CoxsOrangePippin_h1/GCA_052938675.1_CoxsOrangePippin_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/675/GCA_052938675.1_CoxsOrangePippin_h1/GCA_052938675.1_CoxsOrangePippin_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938685.1	CoxsOrangePippin_h2	Chromosome	NCBI GenBank	Cox's Orange Pippin	PRJNA1168420	Malus_domestica_GCA_052938685.1	yes	yes	yes	yes	yes	0	200576929	9056573	9526857	219165069	Malus_domestica_GCA_052938685.1/genome/GCA_052938685.1_CoxsOrangePippin_h2_genomic.fna.gz	Malus_domestica_GCA_052938685.1/annotation/GCA_052938685.1_CoxsOrangePippin_h2_genomic.gff.gz	Malus_domestica_GCA_052938685.1/annotation/GCA_052938685.1_CoxsOrangePippin_h2_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/685/GCA_052938685.1_CoxsOrangePippin_h2/GCA_052938685.1_CoxsOrangePippin_h2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/685/GCA_052938685.1_CoxsOrangePippin_h2/GCA_052938685.1_CoxsOrangePippin_h2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/685/GCA_052938685.1_CoxsOrangePippin_h2/GCA_052938685.1_CoxsOrangePippin_h2_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938715.1	FiessersErstling_h1	Chromosome	NCBI GenBank	Fiessers Erstling	PRJNA1168428	Malus_domestica_GCA_052938715.1	yes	yes	yes	yes	yes	0	203696504	8943568	9338403	221983183	Malus_domestica_GCA_052938715.1/genome/GCA_052938715.1_FiessersErstling_h1_genomic.fna.gz	Malus_domestica_GCA_052938715.1/annotation/GCA_052938715.1_FiessersErstling_h1_genomic.gff.gz	Malus_domestica_GCA_052938715.1/annotation/GCA_052938715.1_FiessersErstling_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/715/GCA_052938715.1_FiessersErstling_h1/GCA_052938715.1_FiessersErstling_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/715/GCA_052938715.1_FiessersErstling_h1/GCA_052938715.1_FiessersErstling_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/715/GCA_052938715.1_FiessersErstling_h1/GCA_052938715.1_FiessersErstling_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938735.1	FiessersErstling_h2	Chromosome	NCBI GenBank	Fiessers Erstling	PRJNA1168429	Malus_domestica_GCA_052938735.1	yes	yes	yes	yes	yes	0	199648898	8891013	9288613	217833232	Malus_domestica_GCA_052938735.1/genome/GCA_052938735.1_FiessersErstling_h2_genomic.fna.gz	Malus_domestica_GCA_052938735.1/annotation/GCA_052938735.1_FiessersErstling_h2_genomic.gff.gz	Malus_domestica_GCA_052938735.1/annotation/GCA_052938735.1_FiessersErstling_h2_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/735/GCA_052938735.1_FiessersErstling_h2/GCA_052938735.1_FiessersErstling_h2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/735/GCA_052938735.1_FiessersErstling_h2/GCA_052938735.1_FiessersErstling_h2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/735/GCA_052938735.1_FiessersErstling_h2/GCA_052938735.1_FiessersErstling_h2_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Malus domestica	apple	GCA_052938915.1	ScillyPearl_h1	Chromosome	NCBI GenBank	Scilly Pearl	PRJNA1168470	Malus_domestica_GCA_052938915.1	yes	yes	yes	yes	yes	0	201833633	8995973	9527897	220362061	Malus_domestica_GCA_052938915.1/genome/GCA_052938915.1_ScillyPearl_h1_genomic.fna.gz	Malus_domestica_GCA_052938915.1/annotation/GCA_052938915.1_ScillyPearl_h1_genomic.gff.gz	Malus_domestica_GCA_052938915.1/annotation/GCA_052938915.1_ScillyPearl_h1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/915/GCA_052938915.1_ScillyPearl_h1/GCA_052938915.1_ScillyPearl_h1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/915/GCA_052938915.1_ScillyPearl_h1/GCA_052938915.1_ScillyPearl_h1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/938/915/GCA_052938915.1_ScillyPearl_h1/GCA_052938915.1_ScillyPearl_h1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
